indicator,country,year,value
NY.GNP.PCAP.CD,ABW,2013,24416.9535771457
NY.GNP.PCAP.CD,ABW,2014,24899.24208841275
NY.GNP.PCAP.CD,ABW,2015,25381.530599679914
NY.GNP.PCAP.CD,AGO,2013,2878.023270155827
NY.GNP.PCAP.CD,AGO,2014,2991.93479422768
NY.GNP.PCAP.CD,AGO,2015,3105.846318299562
NY.GNP.PCAP.CD,ALB,2013,3971.7808411652804
NY.GNP.PCAP.CD,ALB,2014,4131.893090205151
NY.GNP.PCAP.CD,ALB,2015,4292.005339245021
NY.GNP.PCAP.CD,ARB,2013,6001.012645149487
NY.GNP.PCAP.CD,ARB,2014,6245.143706717354
NY.GNP.PCAP.CD,ARB,2015,6489.274768285279
NY.GNP.PCAP.CD,ARE,2013,38534.47537473228
NY.GNP.PCAP.CD,ARE,2014,38968.13169164874
NY.GNP.PCAP.CD,ARE,2015,39401.788008565316
NY.GNP.PCAP.CD,ARG,2013,9102.300621649716
NY.GNP.PCAP.CD,ARG,2014,9286.71550810634
NY.GNP.PCAP.CD,ARG,2015,9471.130394562904
NY.GNP.PCAP.CD,ARM,2013,3508.662247664877
NY.GNP.PCAP.CD,ARM,2014,3690.6677463090746
NY.GNP.PCAP.CD,ARM,2015,3872.673244953272
NY.GNP.PCAP.CD,ATG,2013,14596.780321480706
NY.GNP.PCAP.CD,ATG,2014,14962.977756129229
NY.GNP.PCAP.CD,ATG,2015,15329.175190777634
NY.GNP.PCAP.CD,AUS,2013,40391.36681879242
NY.GNP.PCAP.CD,AUS,2014,41285.62189187505
NY.GNP.PCAP.CD,AUS,2015,42179.876964957686
NY.GNP.PCAP.CD,AUT,2013,44646.102496582316
NY.GNP.PCAP.CD,AUT,2014,45644.36135353381
NY.GNP.PCAP.CD,AUT,2015,46642.62021048507
NY.GNP.PCAP.CD,AZE,2013,4547.6375606067595
NY.GNP.PCAP.CD,AZE,2014,4804.770695253799
NY.GNP.PCAP.CD,AZE,2015,5061.903829900839
NY.GNP.PCAP.CD,BDI,2013,223.22478434023924
NY.GNP.PCAP.CD,BDI,2014,225.79560584898263
NY.GNP.PCAP.CD,BDI,2015,228.36642735772602
NY.GNP.PCAP.CD,BEL,2013,42345.65393317724
NY.GNP.PCAP.CD,BEL,2014,43266.957692432916
NY.GNP.PCAP.CD,BEL,2015,44188.26145168883
NY.GNP.PCAP.CD,BEN,2013,684.7795510955693
NY.GNP.PCAP.CD,BEN,2014,697.6327097066896
NY.GNP.PCAP.CD,BEN,2015,710.4858683178063
NY.GNP.PCAP.CD,BFA,2013,491.66979517883374
NY.GNP.PCAP.CD,BFA,2014,500.55417663787375
NY.GNP.PCAP.CD,BFA,2015,509.4385580969174
NY.GNP.PCAP.CD,BGD,2013,838.7207411440904
NY.GNP.PCAP.CD,BGD,2014,859.5648630728101
NY.GNP.PCAP.CD,BGD,2015,880.4089850015371
NY.GNP.PCAP.CD,BGR,2013,5786.959367175063
NY.GNP.PCAP.CD,BGR,2014,5956.263373548805
NY.GNP.PCAP.CD,BGR,2015,6125.567379922606
NY.GNP.PCAP.CD,BHR,2013,19276.91630624479
NY.GNP.PCAP.CD,BHR,2014,19722.43417558237
NY.GNP.PCAP.CD,BHR,2015,20167.952044919948
NY.GNP.PCAP.CD,BHS,2013,29817.16610175534
NY.GNP.PCAP.CD,BHS,2014,30472.086346935714
NY.GNP.PCAP.CD,BHS,2015,31127.00659211632
NY.GNP.PCAP.CD,BIH,2013,5101.031054000312
NY.GNP.PCAP.CD,BIH,2014,5356.9871500688605
NY.GNP.PCAP.CD,BIH,2015,5612.943246137409
NY.GNP.PCAP.CD,BLR,2013,5480.241036456777
NY.GNP.PCAP.CD,BLR,2014,5721.8729285929585
NY.GNP.PCAP.CD,BLR,2015,5963.50482072914
NY.GNP.PCAP.CD,BLZ,2013,4201.152300716727
NY.GNP.PCAP.CD,BLZ,2014,4287.369944339152
NY.GNP.PCAP.CD,BLZ,2015,4373.587587961578
NY.GNP.PCAP.CD,BOL,2013,1784.1737959442398
NY.GNP.PCAP.CD,BOL,2014,1823.301350602036
NY.GNP.PCAP.CD,BOL,2015,1862.4289052598324
NY.GNP.PCAP.CD,BRA,2013,7453.710231497942
NY.GNP.PCAP.CD,BRA,2014,7629.367502990703
NY.GNP.PCAP.CD,BRA,2015,7805.0247744835215
